TABLE_ID,CODIGO,ESCUELA,REGION,DISTRITO,MUNICIPIO_ESCOLAR,DIRECCION_FISICA,DIRECCION_MUNICIPIO,DIRECCION_ESTADO,DIRECCION_ZIPCODE,GEOLOCALIZACION,TELEFONO,FAX,DIRECTOR,ZONA,OPERACIONAL_2018-2019,NIVEL_ORIGINAL,GRADOS_ORIGINAL,GRADOS_POSTERIOR,MATRICULA_TOTAL,GRADO_INFANT,GRADO_TODDLER,GRADO_PK,GRADO_PKE,GRADO_PKM,GRADO_K,GRADO_1,GRADO_2,GRADO_3,GRADO_4,GRADO_5,GRADO_6,GRADO_SGE,GRADO_7,GRADO_8,GRADO_9,GRADO_SGI,GRADO_10,GRADO_11,GRADO_12,GRADO_SGS,ESPAÑOL_[PROFICIENTE+AVANZADO],ESPAÑOL_PRE-BÁSICO,ESPAÑOL_BÁSICO,ESPAÑOL_PROFICIENTE,ESPAÑOL_AVANZADO,MATEMÁTICAS_[PROFICIENTE+AVANZADO],MATEMÁTICAS_PRE-BÁSICO,MATEMÁTICAS_BÁSICO,MATEMÁTICAS_PROFICIENTE,MATEMÁTICAS_AVANZADO,INGLÉS_[PROFICIENTE+AVANZADO],INGLÉS_PRE-BÁSICO,INGLÉS_BÁSICO,INGLÉS_PROFICIENTE,INGLÉS_AVANZADO,BAJO_NIVEL_POBREZA
1,35295,20 DE SEPTIEMBRE DE 1988,HUMACAO,FAJARDO,VIEQUES,CARR ESTATAL 200 ESQ CARR ESTATAL 993,VIEQUES,PR,00765-1554,"(18.14372, -65.44178)",741-3091,876-2804,MYRIAM R RODRIGUEZ RODRIGUEZ,URBANA,SI,INTERMEDIO,"7 - 9 , EEI","7 - 9 , EEI",218,,,,,,,,,,,,74,,71,61,,12,,,,,21.56,40.83,37.61,14.68,6.88,1.38,45.87,52.75,1.38,0,19.27,54.59,26.15,14.22,5.05,86.24
2,62844,ABELARDO DIAZ ALFARO,SAN JUAN,SAN JUAN II,SAN JUAN V,CARR 842 KM 6.4 CAIMITO ALTO,SAN JUAN,PR,00936-0000,"(18.31255, -66.06287)",720-0040,720-0040,HAYXA FELICIANO FERNANDEZ,RURAL,NO,ELEMENTAL,K - 6,K - 6,135,,,,,,16,22,20,19,19,19,20,,,,,,,,,,71.43,1.3,27.27,35.06,36.36,61.04,5.19,33.77,25.97,35.06,59.74,5.19,35.06,45.45,14.29,68.22
3,74864,ABELARDO DIAZ ALFARO,BAYAMON,TOA BAJA,TOA ALTA,CARR. 828 AU. RAMAL BO. PINAS,TOA ALTA,PR,9530019,"(18.36274, -66.21927)",797-0315,797-4737,WILFREDO CARDONA,RURAL,SI,INTERMEDIO,"7 - 9 , EEI","7 - 9 , EEI",576,,,,,,,,,,,,162,,198,178,,38,,,,,32.71,21.95,45.34,20.08,12.63,2.28,33.54,64.18,2.07,0.21,31.06,30.02,38.92,21.33,9.73,76.74
4,20578,ABELARDO DIAZ MORALES,CAGUAS,GURABO,CAGUAS I,URB. SANTA ELVIRA CALLE SANTA GERTRUDIS,CAGUAS,PR,00726-4952,"(18.23615, -66.01383)",743-9056,743-9056,CESAR AQUINO NIEVES,URBANA,SI,ELEMENTAL,K - 6,K - 6,656,,,,,,70,80,112,81,114,108,91,,,,,,,,,,40.27,15.47,44.27,24.53,15.73,33.33,16.8,49.87,23.47,9.87,30.13,21.07,48.8,18.4,11.73,69.15
5,15784,ABELARDO MARTINEZ OTERO,ARECIBO,ARECIBO,ARECIBO II,VILLA LOS SANTOS CALLE 14 FINAL,ARECIBO,PR,00612-0000,"(18.46253, -66.74019)",879-2614,879-9109,EDGAR ORTIZ AHORRIO,URBANA,SI,SUPERIOR,12-Oct,12-Oct,465,,,,,,,,,,,,,,,,105,,129,126,105,,68.85,2.46,28.69,38.52,30.33,0.83,5.79,93.39,0.83,0,63.64,8.26,28.1,29.75,33.88,65.44
6,52357,ABRAHAM LINCOLN,PONCE,PONCE,PONCE II,46 CALLE CAMPECHE BDA BELGICA,PONCE,PR,00731-0000,"(18.00463, -66.60992)",842-0117,842-0117,BRUNILDA SIERRA TELLADO,URBANA,SI,ELEMENTAL,"PK - 6 , EEE","PK - 6 , EEE",211,,,,,,29,35,30,29,45,28,,15,,,,,,,,,63.81,10.48,25.71,26.67,37.14,66.67,1.9,31.43,32.38,34.29,65.71,12.38,21.9,40.95,24.76,93.1
7,61598,ABRAHAM LINCOLN,SAN JUAN,SAN JUAN I,SAN JUAN I,CALLE SOL 351,SAN JUAN,PR,00902-3347,"(18.46764, -66.11357)",722-1561,722-1561,MARIBEL LOPEZ SANTIAGO,URBANA,SI,ELEMENTAL,"PK - 6 , EEE","K - 5, EEE, PKEE",178,,,11,,,21,22,22,23,27,23,25,4,,,,,,,,,36.25,15,48.75,17.5,18.75,43.75,17.5,38.75,18.75,25,23.75,31.25,45,15,8.75,85.28
8,70862,ABRAHAM LINCOLN,BAYAMON,COROZAL,COROZAL,CALLE BOU FINAL,COROZAL,PR,00783-0000,"(18.34198, -66.31734)",859-3007,859-1855,SARAH PADILLA MORALES,URBANA,NO,ELEMENTAL,"4 - 6 , EEE","4 - 6 , EEE",385,,,,,,44,64,62,51,68,48,,48,,,,,,,,,41.94,16.67,41.4,24.19,17.74,46.24,13.98,39.78,23.12,23.12,34.41,20.43,45.16,20.97,13.44,87.04
9,27714,ADALBERTO SANCHEZ MORALES,CAGUAS,GUAYAMA,ARROYO,BO ANCONES,ARROYO,PR,7140164,"(17.98963, -66.05327)",271-2973,271-2993,MARIA I. RODRIGUEZ VALENTIN,RURAL,SI,ELEMENTAL,"K - 6 , EEE","K - 5, EEE",467,,,13,,,62,77,73,68,87,78,,9,,,,,,,,,95.76,0,4.24,8.48,87.27,95.15,0,4.85,2.42,92.73,99.39,0.61,0,16.36,83.03,80.55
10,26336,ADELA BRENES TEXIDOR,CAGUAS,GUAYAMA,GUAYAMA,CARR 3 KM. 143 HM 8,GUAYAMA,PR,00785-0000,"(17.95553, -66.16153)",864-7700,866-6463,ADA L VAZQUEZ SERRANO,RURAL,SI,SECUNDARIO,"7 - 12 , EEI","7 - 12 , EEI",340,,,,,,,,,,,,,,56,71,58,17,52,45,41,,28.33,21.67,50,18.33,10,6.11,19.44,74.44,5.56,0.56,36.11,35,28.89,25,11.11,87.46
