Pueblo,CHIP,Estatal,Medicaid,Total
    Arecibo,1881,4082,33983,39946
    Barceloneta,774,1490,12433,14697
    Camuy,1295,2852,15913,20060
    Castaner,232,527,3718,4477
    Ciales,793,1390,10586,12769
    Florida,683,1320,10547,12550
    Hatillo,1140,2267,16704,20111
    Lares,895,1931,13458,16288
    Morovis,1295,2389,15647,19331
    Quebradillas,971,2052,13491,16514
    Utuado,805,1741,12656,15202
    Vega Baja,1559,3131,25596,30286
    Barranquitas,1084,2306,18120,21510
    Bayamon I,2576,5342,33634,41552
    Bayamon II,2232,4135,28105,34472
    Catano,747,1125,10257,12129
    Comerio,643,1499,11096,13238
    Corozal,1408,2475,18238,22121
    Dorado,1101,2027,11858,14986
    Naranjito,884,1690,15354,17928
    Orocovis,951,1926,13932,16809
    Toa Alta,1794,3138,19395,24327
    Toa Baja,2294,4118,26110,32522
    Vega Alta,1200,2182,16482,19864
    Aguas Buenas,1091,1932,11543,14566
    Aibonito,914,1764,13469,16147
    Caguas,3438,6661,49485,59584
    Cayey,1461,2665,17141,21267
    Cidra,1487,2951,18577,23015
    Gurabo,1046,2138,13622,16806
    Humacao,1527,3024,24563,29114
    Juncos,1163,2227,17527,20917
    Las Piedras,1043,2282,16562,19887
    Maunabo,417,784,5823,7024
    Naguabo,636,1269,13133,15038
    San Lorenzo,1347,2748,17790,21885
    Yabucoa,1187,2326,19044,22557
    Canovanas,1349,2237,15171,18757
    Carolina,3559,5817,41013,50389
    Ceiba,384,755,4919,6058
    Culebra,89,159,520,768
    Fajardo,1168,2106,13209,16483
    Loiza,919,1549,11843,14311
    Luquillo,582,1041,7222,8845
    Vieques,255,448,3575,4278
    Aguada,1139,2788,19706,23633
    Aguadilla,1372,3169,25517,30058
    Anasco,729,1521,12106,14356
    Cabo Rojo,1377,2914,19267,23558
    Hormigueros,484,953,5586,7023
    Isabela,1280,2699,19703,23682
    Lajas,812,1590,11652,14054
    Las Marias,327,801,5157,6285
    Maricao,170,327,2370,2867
    Mayaguez,2079,4556,33588,40223
    Moca,1222,2811,19464,23497
    Rincon,400,909,6981,8290
    Sabana Grande,779,1711,10557,13047
    San German,910,2173,15553,18636
    San Sebastian,1105,2903,20556,24564
    Guaynabo,1675,2948,19513,24136
    Rio Piedras,4625,8217,68799,81641
    Santurce,2220,4389,29417,36026
    Trujillo Alto,1701,3120,17548,22369
    OPM,,14,1,15
    Adjuntas,579,1122,9391,11092
    Arroyo,684,1254,9297,11235
    Coamo,1302,2534,16146,19982
    Guanica,743,1514,9361,11618
    Guayama,1480,2659,17857,21996
    Guayanilla,614,1344,10393,12351
    Jayuya,509,1098,8115,9722
    Patillas,686,1283,9100,11069
    Penuelas,868,1860,12274,15002
    Ponce,4603,9194,68930,82727
    Salinas,1108,2180,14234,17522
    Santa Isabel,790,1422,8604,10816
    Villalba,871,2055,13698,16624
    Yauco,1212,2724,17139,21075
    Manati,1309,2228,18971,22508
    Juana Diaz,1564,3381,19972,24917
    Rio Grande,1713,3194,18496,23403
