region,distrito,municipio_escolar,codigo_escuela,nombre_escuela,matricula5_17,matricula5_17bnp
ARECIBO,ARECIBO,ARECIBO I,10017,FELIX ROSARIO RIOS (ESPECIALIZADA BILINGUE),198,117
ARECIBO,ARECIBO,ARECIBO I,10058,S. U. RAMON E. BETANCES,350,264
ARECIBO,ARECIBO,ARECIBO I,10108,LOS CANOS,136,109
ARECIBO,ARECIBO,ARECIBO I,10124,JUSTINIANO TORRES,111,94
ARECIBO,ARECIBO,ARECIBO I,10215,DOMINGO RUIZ,184,139
ARECIBO,ARECIBO,ARECIBO I,10272,S. U. EUGENIO MARIA DE HOSTOS,523,387
ARECIBO,ARECIBO,ARECIBO I,10322,S. U. ENRIQUE DE JESUS BORRAS,286,229
ARECIBO,ARECIBO,ARECIBO I,10405,LUIS FELIPE PEREZ,193,168
ARECIBO,ARECIBO,ARECIBO I,10488,ROSA L. RIVERA SERRANO (S. U. RIO ARRIBA),110,78
ARECIBO,ARECIBO,ARECIBO I,10520,S. U. DIEGO BRAVO,198,151
ARECIBO,ARECIBO,ARECIBO I,10546,S. U. FEDERICO DEGETAU,452,337
ARECIBO,ARECIBO,ARECIBO I,10637,ANGELICA GOMEZ BETANCOURT,101,84
ARECIBO,ARECIBO,ARECIBO I,14241,TRINA PADILLA DE SANZ,286,235
ARECIBO,ARECIBO,ARECIBO I,15461,MARIA CATALINA TEJADA,127,96
ARECIBO,ARECIBO,ARECIBO I,17558,SUPERIOR VOC.NUEVA (ANTONIO LUCHETTI),1074,714
ARECIBO,ARECIBO,ARECIBO I,17780,ELEMENTAL NUEVA (FACTOR V),433,258
ARECIBO,ARECIBO,ARECIBO II,10082,DR. FRANCISCO M. SUSONI,270,199
ARECIBO,ARECIBO,ARECIBO II,10173,COTTO ANEXO,29,23
ARECIBO,ARECIBO,ARECIBO II,10207,DOLORES GOMEZ DE ROMAN,186,149
ARECIBO,ARECIBO,ARECIBO II,10314,JULIO SEIJO,265,185
ARECIBO,ARECIBO,ARECIBO II,10348,JOSE GUALBERTO PADILLA,280,263
ARECIBO,ARECIBO,ARECIBO II,10355,JOHN W. HARRIS,248,223
ARECIBO,ARECIBO,ARECIBO II,10363,THOMAS JEFFERSON,269,209
ARECIBO,ARECIBO,ARECIBO II,10439,S. U. DR. CAYETANO COLL Y TOSTE,576,399
ARECIBO,ARECIBO,ARECIBO II,10512,S. U. MANUEL RUIZ GANDIA,584,421
ARECIBO,ARECIBO,ARECIBO II,10611,VICTOR ROJAS #1,73,68
ARECIBO,ARECIBO,ARECIBO II,10629,VICTOR ROJAS #2,252,191
ARECIBO,ARECIBO,ARECIBO II,14381,CENTRO PRE-VOC. JOSE LIMON ARCE,38,36
ARECIBO,ARECIBO,ARECIBO II,14563,MARTIN DELGADO DELGADO,121,89
ARECIBO,ARECIBO,ARECIBO II,14787,FRANCISCO G. PACHIN MARIN,407,258
ARECIBO,ARECIBO,ARECIBO II,15024,ELBA LUGO CARRION ,316,167
ARECIBO,ARECIBO,ARECIBO II,15701,LUIS MUNOZ RIVERA,103,69
